taxon_id,scientific_name,rank,source_material_status,wikipedia_status,available_article_urls,botanical_source_urls,record_path
64239,Stuckenia pectinata,species,taxon_matched_text,article_title_matched,https://en.wikipedia.org/wiki/Stuckenia_pectinata,,taxa/64239.json
71170,Ranunculus ophioglossifolius,species,taxon_matched_text,article_title_matched,https://en.wikipedia.org/wiki/Ranunculus_ophioglossifolius | https://pt.wikipedia.org/wiki/Ranunculus_ophioglossifolius,,taxa/71170.json
77221,Gamochaeta pensylvanica,species,taxon_matched_text,article_title_matched,https://en.wikipedia.org/wiki/Gamochaeta_pensylvanica | https://pt.wikipedia.org/wiki/Gamochaeta_pensylvanica,,taxa/77221.json
78087,Modiola caroliniana,species,taxon_matched_text,article_title_matched,https://en.wikipedia.org/wiki/Modiola | https://pt.wikipedia.org/wiki/Modiola | https://pt.wikipedia.org/wiki/Modiola_caroliniana,,taxa/78087.json
78265,Opuntia leucotricha,species,taxon_matched_text,article_title_matched,https://en.wikipedia.org/wiki/Opuntia_leucotricha,,taxa/78265.json
78453,Persicaria hydropiperoides,species,taxon_matched_text,article_title_matched,https://en.wikipedia.org/wiki/Persicaria_hydropiperoides | https://pt.wikipedia.org/wiki/Polygonum_hydropiperoides,,taxa/78453.json
129054,Tulipa gesneriana,species,taxon_matched_text,article_title_matched,https://en.wikipedia.org/wiki/Tulipa_gesneriana,,taxa/129054.json
130302,Polygala serpyllifolia,species,taxon_matched_text,article_title_matched,https://en.wikipedia.org/wiki/Polygala_serpyllifolia | https://pt.wikipedia.org/wiki/Polygala_serpyllifolia,,taxa/130302.json
135362,Agathis robusta,species,taxon_matched_text,article_title_matched,https://en.wikipedia.org/wiki/Agathis_robusta,,taxa/135362.json
181791,Melianthus major,species,taxon_matched_text,article_title_matched,https://en.wikipedia.org/wiki/Melianthus_major,,taxa/181791.json
183033,Hildenbrandia rubra,species,taxon_matched_text,article_title_matched,https://en.wikipedia.org/wiki/Hildenbrandia_rubra,,taxa/183033.json
183438,Exaculum pusillum,species,taxon_matched_text,article_title_matched,https://en.wikipedia.org/wiki/Exaculum | https://pt.wikipedia.org/wiki/Exaculum | https://pt.wikipedia.org/wiki/Exaculum_pusillum,,taxa/183438.json
204339,Lamium galeobdolon,species,taxon_matched_text,article_title_matched,https://en.wikipedia.org/wiki/Lamium_galeobdolon | https://pt.wikipedia.org/wiki/Lamiastrum_galeobdolon,,taxa/204339.json
322318,Euphorbia trigona,species,taxon_matched_text,article_title_matched,https://en.wikipedia.org/wiki/Euphorbia_trigona,,taxa/322318.json
338360,Paradisea lusitanica,species,taxon_matched_text,article_title_matched,https://es.wikipedia.org/wiki/Paradisea_lusitanica,,taxa/338360.json
341996,Pterocephalidium diandrum,species,taxon_matched_text,article_title_matched,https://en.wikipedia.org/wiki/Pterocephalidium | https://pt.wikipedia.org/wiki/Pterocephalidium_diandrum,,taxa/341996.json
344257,Strobilanthes maculata,species,taxonomy_only,taxonomy_only,,,taxa/344257.json
492012,Rumex thyrsoides,species,taxon_matched_text,article_title_matched,https://pt.wikipedia.org/wiki/Rumex_thyrsoides,,taxa/492012.json
508893,Lavandula pinnata,species,taxon_matched_text,article_title_matched,https://en.wikipedia.org/wiki/Lavandula_pinnata | https://pt.wikipedia.org/wiki/Lavandula_pinnata,,taxa/508893.json
738785,Veronica × franciscana,hybrid,taxonomy_only,taxonomy_only,,,taxa/738785.json
861344,Rumex simpliciflorus,species,taxon_matched_text,article_title_matched,https://pt.wikipedia.org/wiki/Rumex_simpliciflorus,,taxa/861344.json
56015,Tamarix ramosissima,species,taxon_matched_text,article_title_matched,https://en.wikipedia.org/wiki/Tamarix_ramosissima | https://pt.wikipedia.org/wiki/Tamarix_ramosissima,,taxa/56015.json
68317,Pentas lanceolata,species,taxon_matched_text,article_title_matched,https://en.wikipedia.org/wiki/Pentas_lanceolata | https://pt.wikipedia.org/wiki/Pentas_lanceolata,,taxa/68317.json
78882,Rosa multiflora,species,taxon_matched_text,article_title_matched,https://en.wikipedia.org/wiki/Rosa_multiflora | https://pt.wikipedia.org/wiki/Rosa_multiflora,,taxa/78882.json
82679,Argyrolobium zanonii,species,taxon_matched_text,article_title_matched,https://en.wikipedia.org/wiki/Argyrolobium_zanonii | https://pt.wikipedia.org/wiki/Argyrolobium_zanonii,,taxa/82679.json
