taxonId,name,rank,status,language,allRawSourceTokens,selectedRawSourceTokens,selectedCleanSourceTokens,evidencePacketTokens,hasSources,draftRequestTextTokens
775585,Hypericum elegans,species,taxon_matched_text,en,224,224,50,143,True,933
777430,Caulerpa chemnitzia,species,taxon_matched_text,en,274,274,44,143,True,933
777602,Knautia subscaposa,species,taxon_matched_text,pt,1687,1687,636,863,True,1653
777721,Lonicera hildebrandtiana,species,text_needs_scope_review,en,1301,1301,390,509,True,1299
778168,Weigela japonica,species,taxon_matched_text,en,2048,810,192,299,True,1089
780703,Ozothamnus rosmarinifolius,species,taxon_matched_text,en,627,627,150,271,True,1061
780929,Strobilanthes auriculata,species,taxonomy_only,,0,0,0,45,False,835
782189,Kalanchoe manginii,species,taxon_matched_text,en,1419,1419,491,631,True,1421
782338,Azara serrata,species,taxon_matched_text,en,1048,833,135,241,True,1031
784562,Populus laurifolia,species,taxon_matched_text,en,927,566,59,148,True,938
784952,Gastroclonium ovatum,species,taxon_matched_text,en,551,551,191,330,True,1120
787982,Dendrobium hekouense,species,taxon_matched_text,en,691,691,155,287,True,1077
789240,Commiphora myrrha,species,taxon_matched_text,en,3389,3389,979,1180,True,1970
795441,Aechmea comata,species,taxon_matched_text,en,1257,1257,114,234,True,1024
797969,Trihesperus,genus,taxon_matched_text,en,456,456,107,212,True,1002
801468,Lamium gevorense,species,taxon_matched_text,pt,1221,1221,259,427,True,1217
803653,Achillea asiatica,species,taxonomy_only,,0,0,0,39,False,829
803699,Hippeastrum glaucescens,species,taxonomy_only,,0,0,0,47,False,837
805551,Aeonium davidbramwellii,species,taxon_matched_text,es,1046,1046,458,640,True,1430
812628,Carduus clavulatus,species,taxonomy_only,,0,0,0,41,False,831
821171,Chrysojasminum humile,species,taxon_matched_text,en,1050,1050,324,465,True,1255
824442,Populus suaveolens,species,taxon_matched_text,en,843,843,98,194,True,984
824666,Aeonium spathulatum,species,taxon_matched_text,es,1019,1019,534,709,True,1499
825778,Begonia × albopicta,hybrid,taxon_matched_text,pt,409,409,218,369,True,1159
828538,Chamaecytisus austriacus,species,taxon_matched_text,en,606,606,139,267,True,1057
840161,Arenaria erinacea,species,taxonomy_only,,0,0,0,41,False,831
840838,Ceiba chodatii,species,taxon_matched_text,en,1105,1105,549,691,True,1481
841660,Hippeastrum aulicum,species,taxon_matched_text,en,3434,1793,610,818,True,1608
841893,Antirrhinum rothmaleri,species,taxon_matched_text,unspecified,271,271,271,392,True,1182
841965,Aeonium hierrense,species,taxon_matched_text,en,425,425,93,179,True,969
847544,Nidorella ivifolia,species,text_needs_scope_review,en,2660,2660,464,639,True,1429
850360,Rumex tolimensis,species,taxonomy_only,,0,0,0,41,False,831
850434,Maesa argentea,species,taxonomy_only,,0,0,0,41,False,831
850573,Limnobium laevigatum,species,text_needs_scope_review,en,2134,2134,814,976,True,1766
850962,Berberis sibirica,species,text_needs_scope_review,es,4050,4050,2087,2428,True,3218
851022,Ocimum kilimandscharicum,species,taxon_matched_text,en,372,372,33,125,True,915
854467,Pimpinella tragium,species,taxonomy_only,,0,0,0,41,False,831
855610,Telmatoblechnum serrulatum,species,taxon_matched_text,en,1524,1524,354,488,True,1278
856744,Pteridium tauricum,species,taxonomy_only,,0,0,0,41,False,831
856905,Doryphora sassafras,species,taxon_matched_text,en,2505,2505,714,882,True,1672
859058,Achnatherum bromoides,species,text_needs_scope_review,es,1079,1079,540,692,True,1482
859218,Cyrtomium laetevirens,species,taxonomy_only,,0,0,0,44,False,834
